#{"t_start": 1775204662.012896, "env_id": "None"}
r,l,t
1.595476,30,176.792896
2.512409,33,177.327575
3.375585,32,177.860816
13.996816,240,178.458959
13.996816,240,179.056941
13.996816,240,179.657333
4.11393,53,180.202677
13.996816,240,181.299783
4.380722,53,181.838331
3.895203,50,182.403738
13.996816,240,182.99645
2.408188,39,183.534509
1.632366,31,184.065557
3.894624,29,184.598615
2.082008,35,185.134243
3.582126,42,185.669813
3.11035,33,186.200964
2.566617,39,186.736581
1.852091,32,187.267983
3.452129,32,187.801898
1.662753,32,188.33618
4.155631,54,188.87645
1.593935,28,189.418582
1.873981,35,189.954542
2.005534,39,190.489667
3.525553,30,191.020632
13.996816,240,191.616532
2.495345,41,192.158085
1.569646,30,192.688849
13.996816,240,193.287555
7.62713,119,193.850746
3.507225,43,194.394117
1.779611,31,194.924118
13.996816,240,195.521999
2.808926,31,196.058252
2.605968,40,197.068623
13.996816,240,200.30333
13.996816,240,201.140313
3.639685,43,201.716806
3.448268,31,202.246285
1.984332,34,202.781164
1.75745,31,203.313318
2.603295,28,203.846952
1.661247,30,204.380807
2.192741,37,204.916472
13.996816,240,205.513058
2.203116,30,206.048914
2.052615,36,206.584262
4.682945,63,207.126477
13.996816,240,207.731601
1.869126,35,208.26861
1.757431,31,208.801517
13.996816,240,209.399488
1.965881,32,209.935917
13.996816,240,210.531484
2.373796,36,211.071923
13.996816,240,212.154605
13.996816,240,212.787076
2.217188,33,213.322746
1.600001,30,213.85573
13.996816,240,214.454912
3.026692,42,214.993051
3.544995,30,215.522713
3.422646,39,216.059621
1.944937,34,216.591767
13.996816,240,217.190025
4.124314,49,217.730854
5.74679,81,218.308123
1.641992,29,218.841914
2.430411,30,219.376149
13.996816,240,219.973323
13.996816,240,220.576418
1.777532,32,221.111545
2.414385,38,221.647028
1.715866,37,222.180388
3.573938,31,222.712504
3.59884,42,223.249509
2.099699,35,223.781462
2.970324,50,224.319411
4.528065,55,225.391773
13.996816,240,226.013447
13.996816,240,226.614808
1.745817,31,227.149091
2.30815,36,227.684281
13.996816,240,228.282572
13.996816,240,228.880187
3.958886,48,229.422808
13.996816,240,230.345606
1.503691,31,230.885492
