time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/std,train/learning_rate,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl
1,16,2048,4.517626464285714,126,73.07142857142857,,,,,,,,,,,
2,29,4096,4.7158099230769235,136,76.26923076923077,1.0041784048080444,0.0003,0.03447265625,-5.6869559094309805,-0.004379104491090402,0.0038313381373882294,10,0.10103127264883369,-0.23096215724945068,0.2,0.0051363306
3,49,6144,4.510016517647059,123,72.07058823529412,1.0080008506774902,0.0003,0.044287109375,-5.703213024139404,-0.004983264286420308,0.02960912510752678,20,0.15524599060881883,0.004077434539794922,0.2,0.0058114333
4,83,8192,4.463651400000001,98,69.5,1.016108751296997,0.0003,0.035791015625,-5.724418292939663,-0.0044561726826941594,0.07357192039489746,30,0.2856536607723683,-0.008786797523498535,0.2,0.004836916
5,103,10240,4.417647,98,67.97,1.0214933156967163,0.0003,0.054736328125,-5.7518809109926226,-0.004115716005617287,0.02329474687576294,40,0.25630837241187693,0.05335676670074463,0.2,0.0067251385
6,116,12288,4.47538291,105,68.88,1.0251474380493164,0.0003,0.02529296875,-5.77148820310831,-0.0029852605148334987,0.11684178560972214,50,0.4462349089793861,0.0821179747581482,0.2,0.0045743985
7,125,14336,5.1807080800000005,114,81.19,1.0306801795959473,0.0003,0.0423828125,-5.785183402895927,-0.004157327550638001,0.061399444937705994,60,0.2702192816650495,0.27584123611450195,0.2,0.0041516162
8,142,16384,5.43946051,115,87.12,1.0275088548660278,0.0003,0.05029296875,-5.786244769394398,-0.0054631021921522915,-0.03205746039748192,70,0.12355747766850982,0.545884907245636,0.2,0.006438454
9,151,18432,5.917285269999999,121,95.33,1.0361884832382202,0.0003,0.058544921875,-5.80038036108017,-0.005648739934258629,0.2324720323085785,80,0.585460448730737,0.1381475329399109,0.2,0.0064890063
10,167,20480,5.886805909999998,122,95.05,1.0498138666152954,0.0003,0.02373046875,-5.844602456688881,-0.0014878880698233842,0.009624022990465164,90,0.26600368606159464,0.28339648246765137,0.2,0.0037688056
11,178,22528,6.1298914899999986,126,99.44,1.0494650602340698,0.0003,0.038818359375,-5.869613486528396,-0.003972285382042173,0.20700868964195251,100,0.6926521839573979,0.19879084825515747,0.2,0.0053083617
12,194,24576,5.69475469,126,91.88,1.0618655681610107,0.0003,0.06259765625,-5.895311185717583,-0.004041731887264177,0.08330662548542023,110,0.37533291867002844,0.36320066452026367,0.2,0.007196225
13,209,26624,5.573663829999999,127,89.52,1.0684703588485718,0.0003,0.045654296875,-5.927560018002987,-0.004285181213344913,0.2065363973379135,120,0.6818383298814297,0.36831337213516235,0.2,0.004912569
14,222,28672,5.6928368,128,91.34,1.082809329032898,0.0003,0.025244140625,-5.967993468046188,-0.0028413176274625584,0.35543087124824524,130,0.46943090539425614,0.39625418186187744,0.2,0.0047706147
