time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/std,train/learning_rate,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl
32,531,65536,4.615373190000001,123,72.24,1.2074403762817383,0.0003,0.043212890625,-6.4184865862131115,-0.0034854342200560497,0.32423654198646545,310,0.5737430507317185,0.31054502725601196,0.2,0.0049934196
33,543,67584,4.953651460000001,124,78.14,1.2095237970352173,0.0003,0.08740234375,-6.430448123812676,-0.008177291454921942,0.04678671807050705,320,0.20475492670666426,0.6148207187652588,0.2,0.007200838
34,572,69632,5.375968879999999,121,86.14,1.2282136678695679,0.0003,0.034375,-6.464313788712024,-0.002678886370267719,-0.03050563484430313,330,0.22715032058767975,0.654145359992981,0.2,0.0046826946
35,588,71680,5.687618099999998,121,92.73,1.2297013998031616,0.0003,0.02333984375,-6.498020331561565,-0.0022794744960265233,0.09525132179260254,340,0.37275570675265046,0.6095901727676392,0.2,0.005036534
36,600,73728,5.7808984,122,94.07,1.2315752506256104,0.0003,0.06416015625,-6.504518167674542,-0.005963496751792263,0.16210594773292542,350,0.5548278794623911,0.4076918959617615,0.2,0.0065764403
37,611,75776,5.9271807,123,96.82,1.2308118343353271,0.0003,0.04970703125,-6.50663755685091,-0.003435125164105557,0.029447458684444427,360,0.4559435317292809,0.4772137999534607,0.2,0.005226151
38,625,77824,5.82458744,124,94.87,1.240533709526062,0.0003,0.076513671875,-6.5208498880267145,-0.006785542816214729,0.09591126441955566,370,0.3546576913096942,0.36647963523864746,0.2,0.00818938
39,637,79872,5.69758871,125,92.47,1.2426178455352783,0.0003,0.036572265625,-6.538340274989605,-0.003916959401976783,0.019094713032245636,380,0.3258022081805393,0.6969257593154907,0.2,0.0047496418
40,649,81920,6.10992104,126,99.08,1.24200439453125,0.0003,0.058984375,-6.537994222342968,-0.003912253957241774,0.013177897781133652,390,0.2780343234073371,0.6814795136451721,0.2,0.0061816624
41,660,83968,6.3329534999999995,127,103.15,1.2536786794662476,0.0003,0.027294921875,-6.556549280881882,-0.003241114724369254,0.162004292011261,400,0.37749199867248534,0.5313382148742676,0.2,0.0059414813
42,676,86016,5.96584251,127,95.14,1.2606267929077148,0.0003,0.0578125,-6.5823958814144135,-0.004586329035373637,0.13823959231376648,410,0.3742896346142516,0.5112440586090088,0.2,0.006741056
43,687,88064,6.208518959999999,128,99.71,1.2793340682983398,0.0003,0.0474609375,-6.62618745714426,-0.004568470454250928,0.09989289939403534,420,0.2728851806838065,0.7713467478752136,0.2,0.0062162234
44,699,90112,6.38753436,128,103.39,1.2856552600860596,0.0003,0.06240234375,-6.662571837008,-0.0033663279929896815,-0.0012514591217041016,430,0.22875167577294633,0.6710090637207031,0.2,0.00446486
45,709,92160,6.567739169999999,129,105.98,1.2868093252182007,0.0003,0.039453125,-6.674133422970772,-0.002753486257279292,0.0732479840517044,440,0.29083538718987256,0.4573472738265991,0.2,0.004697043
46,728,94208,5.572009020000001,129,88.55,1.3138859272003174,0.0003,0.05341796875,-6.720036129653454,-0.004542408938868902,0.005818352103233337,450,0.29059939953731373,0.5135495662689209,0.2,0.0058134133
47,740,96256,5.92335931,129,94.99,1.3232879638671875,0.0003,0.04130859375,-6.774688304960728,-0.003583716334833298,0.2255302369594574,460,0.6113432013429702,0.04536193609237671,0.2,0.004421748
48,757,98304,5.517016770000001,129,87.31,1.3267607688903809,0.0003,0.033984375,-6.795158849656582,-0.001970422033627983,0.0744885504245758,470,0.3222239337395877,0.562603235244751,0.2,0.00465156
49,769,100352,5.28871115,130,83.74,1.317484736442566,0.0003,0.0359375,-6.785973642766476,-0.0030233355006203055,0.08796428889036179,480,0.39114916501566765,0.4810459613800049,0.2,0.0053627314
