time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/clip_fraction,train/learning_rate,train/clip_range,train/value_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/entropy_loss,train/std,train/explained_variance,train/loss
2048,17,1,68.17241379310344,119,3.024088620689655,,,,,,,,,,,
4096,45,2,51.721518987341774,89,2.695503050632911,0.07080078125,0.0003,0.2,0.2571200468577445,-0.01007154259714298,10,0.0077653117,-5.6873806595802305,1.0058822631835938,-4.362767219543457,-0.014400012791156769
6144,64,3,56.75,95,3.1670979299999997,0.05234375,0.0003,0.2,0.3519831076730043,-0.012489861281937919,20,0.005748654,-5.7091697171330456,1.0095744132995605,-0.15773451328277588,0.058214202523231506
8192,81,4,57.33,100,3.038213040000001,0.10048828125,0.0003,0.2,0.32505607879720627,-0.01653193487727549,30,0.010033248,-5.7303643971681595,1.0158185958862305,-0.07936573028564453,0.09027072042226791
10240,97,5,63.61,104,3.19485393,0.0794921875,0.0003,0.2,0.37807198301889,-0.01644100971898297,40,0.008422261,-5.741654849052429,1.0171947479248047,-0.05884242057800293,0.08685477077960968
12288,116,6,67.49,105,3.2696859600000003,0.0658203125,0.0003,0.2,0.6437909009866416,-0.015689525331254117,50,0.0079857465,-5.721908807754517,1.0074840784072876,-0.06394791603088379,0.3391053378582001
14336,131,7,68.3,108,3.2567158599999995,0.07861328125,0.0003,0.2,0.6059434690512717,-0.0146737096059951,60,0.0089654885,-5.716439256072045,1.012267827987671,-0.12099981307983398,0.21297693252563477
16384,150,8,67.62,108,3.4898399299999996,0.082275390625,0.0003,0.2,0.4432734463363886,-0.016448649363883305,70,0.008784413,-5.743761549890041,1.021055817604065,-0.00798344612121582,0.2480895072221756
18432,167,9,67.19,110,3.6368699500000012,0.09638671875,0.0003,0.2,0.5175887805409729,-0.01748516648367513,80,0.010530266,-5.771218027174473,1.027922511100769,-0.020543932914733887,0.09794847667217255
20480,183,10,73.34,111,3.97649681,0.083544921875,0.0003,0.2,0.5489154652692377,-0.01749349070014432,90,0.008655781,-5.782847835123539,1.0275219678878784,0.038692474365234375,0.21745237708091736
22528,196,11,76.16,114,4.234112110000001,0.11708984375,0.0003,0.2,0.5226511430926621,-0.02141091912635602,100,0.011135535,-5.787378671765327,1.0284968614578247,0.04763561487197876,0.07507958263158798
24576,211,12,77.96,115,4.28171636,0.098388671875,0.0003,0.2,0.47245673099532726,-0.018466091675509232,110,0.009954472,-5.788445702195167,1.0277680158615112,-0.03395378589630127,0.07163529843091965
26624,227,13,81.64,116,4.7080982,0.10869140625,0.0003,0.2,0.6399643166922033,-0.020255428249947728,120,0.00994697,-5.787481454014778,1.0296318531036377,-0.058652639389038086,0.10905468463897705
28672,241,14,82.05,118,4.98573565,0.098779296875,0.0003,0.2,0.9764037450309843,-0.018639385773713,130,0.009788653,-5.790065664052963,1.029224157333374,-9.453296661376953e-05,0.3051363229751587
30720,252,15,86.92,121,5.342882799999999,0.11396484375,0.0003,0.2,0.6413262224756181,-0.017369207563024246,140,0.010657784,-5.812262293696404,1.0408613681793213,-0.08394396305084229,0.233949676156044
32768,263,16,96.35,124,5.77486209,0.139306640625,0.0003,0.2,0.22588144369074142,-0.020362072459829506,150,0.013627081,-5.866757053136825,1.0561470985412598,-0.12355852127075195,-0.050590649247169495
34816,274,17,97.27,126,5.82298872,0.10908203125,0.0003,0.2,0.5719865738879889,-0.02031658797786804,160,0.010943091,-5.9155354902148245,1.0663468837738037,-0.04595446586608887,0.11232081800699234
36864,294,18,96.41,125,5.3332917900000005,0.131640625,0.0003,0.2,0.43907781059388074,-0.020592897685128266,170,0.012096455,-5.9382364228367805,1.0718059539794922,-0.08766376972198486,0.055843740701675415
38912,310,19,82.06,125,4.3662754999999995,0.09140625,0.0003,0.2,0.9895631404593587,-0.01649470492702676,180,0.010057431,-5.9436226159334185,1.069096565246582,-0.009517192840576172,0.35858866572380066
40960,324,20,81.96,126,4.34076521,0.099169921875,0.0003,0.2,0.5756570197641849,-0.02005318799347151,190,0.009640303,-5.929211336374283,1.0661786794662476,-0.07906651496887207,0.20207096636295319
43008,335,21,80.88,128,4.359152079999999,0.124072265625,0.0003,0.2,0.5185360328294337,-0.02363943542150082,200,0.01209086,-5.93512045443058,1.0697089433670044,-0.0076520442962646484,0.10586775839328766
45056,347,22,89.76,129,4.77269156,0.131103515625,0.0003,0.2,0.35592840634053574,-0.023079543592757545,210,0.013050852,-5.973865661025047,1.0848593711853027,-0.13558101654052734,0.013735972344875336
47104,356,23,101.41,132,5.754884239999999,0.11123046875,0.0003,0.2,0.418915128801018,-0.019100900266494136,220,0.009319421,-6.004521986842155,1.087915062904358,-0.0400162935256958,0.08966196328401566
49152,368,24,109.7,133,6.24564131,0.117041015625,0.0003,0.2,0.5804258222691715,-0.01543238798622042,230,0.010632509,-5.99865489602089,1.0828685760498047,-0.04138994216918945,0.10201838612556458
51200,377,25,116.93,135,6.6677978300000005,0.14130859375,0.0003,0.2,0.7754201329313218,-0.023355935969448183,240,0.012042877,-5.997750176489353,1.0869815349578857,-0.030437707901000977,0.21430665254592896
53248,388,26,121.78,137,6.9239704699999995,0.13984375,0.0003,0.2,0.31674996129004285,-0.022947899892460554,250,0.012730928,-6.0072010397911075,1.0879347324371338,-0.043119192123413086,0.08592421561479568
55296,398,27,122.33,138,6.855905870000002,0.1142578125,0.0003,0.2,0.4350434535648674,-0.02131471260363469,260,0.012242846,-6.046230080723762,1.107650637626648,-0.04177534580230713,0.018663883209228516
57344,407,28,129.0,140,7.24627552,0.109423828125,0.0003,0.2,0.437936474615708,-0.02026479477790417,270,0.012082664,-6.074070461094379,1.1063456535339355,-0.04096579551696777,0.10156905651092529
59392,417,29,128.45,142,7.098249370000001,0.11767578125,0.0003,0.2,0.4204008435830474,-0.019053190839622404,280,0.011231658,-6.072084426879883,1.1051678657531738,-0.05854010581970215,0.09892621636390686
61440,431,30,126.23,142,6.868798720000001,0.13486328125,0.0003,0.2,0.8961684361100197,-0.019286104469938437,290,0.011951884,-6.085210399329663,1.1122338771820068,0.0036194920539855957,0.0023236051201820374
63488,441,31,118.96,143,6.477608810000001,0.100341796875,0.0003,0.2,1.1106131102889776,-0.01964952918497147,300,0.010810307,-6.098145106434822,1.111633539199829,0.010869085788726807,0.4265872836112976
65536,452,32,119.9,144,6.594820009999999,0.1556640625,0.0003,0.2,0.493076145532541,-0.0228147828092915,310,0.015248796,-6.106396244466305,1.118278980255127,-0.018962383270263672,0.1582464575767517
67584,460,33,119.0,146,6.540966409999999,0.141259765625,0.0003,0.2,0.42450348554411904,-0.02130488612310728,320,0.011698481,-6.1296777665615085,1.1259928941726685,0.08085870742797852,0.11138521134853363
69632,471,34,109.45,147,6.06165853,0.118115234375,0.0003,0.2,0.46578379441052675,-0.019719501792860684,330,0.011849064,-6.162951420247555,1.136039137840271,-0.04901695251464844,0.06170015037059784
71680,481,35,117.18,148,6.36140422,0.179150390625,0.0003,0.2,0.5042614615522325,-0.023194504808634518,340,0.01497414,-6.204224063456058,1.1471097469329834,0.058351874351501465,0.14732319116592407
73728,490,36,124.8,150,6.679245769999999,0.128466796875,0.0003,0.2,0.3334759614430368,-0.019966252564336172,350,0.010682975,-6.210187722742558,1.1439752578735352,0.10661333799362183,0.09304260462522507
75776,499,37,130.9,151,7.08849837,0.15283203125,0.0003,0.2,0.3790685882559046,-0.02096447583317058,360,0.01161501,-6.210569889843464,1.146964192390442,0.00747370719909668,0.04042191803455353
