#{"t_start": 1775033592.2373734, "env_id": "None"}
r,l,t
0.239073,9,158.336955
6.136683,61,158.886479
12.813987,146,159.463045
4.375159,20,159.991587
0.26929,8,160.521407
4.53464,20,161.062389
9.750466,182,161.643345
12.79344,240,162.244695
0.196383,5,162.772317
0.310248,90,163.332912
0.208539,11,163.858419
1.549386,29,164.39817
0.162147,16,164.927455
3.564083,66,165.477256
1.745273,13,166.010542
0.18365,6,166.541993
12.81232,240,167.15161
1.264087,22,167.681529
6.508658,41,168.255366
0.943666,25,168.78376
0.286575,8,169.311822
12.807836,240,170.523723
4.596925,52,171.060042
0.281123,25,171.601838
3.888667,70,172.150037
3.331689,86,172.708191
0.312599,90,173.291005
0.134498,7,173.815975
3.76888,90,174.410307
9.084902,171,174.983801
3.813733,29,175.523207
5.478857,101,176.112513
0.357352,17,176.636855
12.755385,240,177.274123
4.815054,89,177.827126
1.972463,35,178.394551
0.361501,6,178.922408
12.795563,240,179.462528
0.152834,6,179.970411
7.192555,130,181.710665
0.751725,24,182.244582
2.750037,47,182.82006
0.229969,16,183.359255
9.423375,174,183.97584
0.121563,22,184.564336
1.275071,22,185.095313
8.36317,154,186.310588
0.211219,4,186.88097
12.951502,240,187.484135
12.807385,240,188.115442
6.120504,107,188.675558
0.424359,12,189.246322
1.851144,35,189.786073
12.769087,240,190.387487
1.576089,27,190.918247
10.269975,190,191.469923
13.593375,234,192.067656
0.941229,10,192.647411
3.618014,38,193.189715
1.529654,45,193.73014
2.190892,41,194.309187
1.050682,28,194.839816
5.291859,18,195.402227
0.991617,6,195.932192
5.85317,22,196.504143
0.273704,34,197.041505
12.830441,240,197.671519
1.57981,28,198.207625
6.905485,127,198.755187
3.892814,67,199.791858
0.224969,22,200.324929
1.33157,42,200.899777
0.468821,58,201.452695
0.192157,10,202.021497
2.165766,37,202.564094
12.93248,240,203.128889
0.639175,11,203.656573
1.213722,44,204.234449
2.147986,41,204.766805
0.985404,37,205.298865
12.808211,240,205.929065
0.601615,22,206.495316
12.243779,158,207.071054
0.269074,26,207.614022
0.206499,9,208.142603
12.812812,240,208.748802
0.382274,34,209.317816
0.966934,14,209.87976
6.173905,111,210.442544
4.765705,87,211.035437
1.325389,30,211.569111
12.800835,240,212.199434
0.126121,9,212.729659
0.684876,11,213.264123
1.02779,16,213.749372
12.799079,240,214.845386
3.53705,15,215.38528
12.33821,240,216.021049
14.766259,40,216.559529
0.751091,6,217.115273
0.475304,5,217.648557
12.880801,240,218.76874
12.806529,240,219.407697
1.719758,28,219.941417
1.52104,18,220.505457
0.130506,24,221.041402
3.407643,15,221.604931
9.012439,166,222.18575
10.93016,203,222.816859
1.55797,26,223.344562
1.045444,38,223.930602
0.314211,22,224.459549
16.054372,96,225.01649
12.814003,240,225.64635
13.081447,95,226.20042
0.482547,5,226.722374
0.740602,9,227.291036
1.30803,18,227.828324
1.762306,36,228.383312
3.938725,65,228.959915
0.795089,29,229.499151
8.303602,153,230.583479
1.276565,44,231.121284
2.298745,43,231.688157
1.196431,39,232.220577
7.196736,18,232.714452
3.990298,25,233.251514
2.116122,41,233.825329
7.54558,140,234.389383
2.936802,33,234.93918
9.549408,81,235.520481
0.887528,31,236.054263
12.434819,240,236.688687
2.489346,42,237.226096
1.854457,10,237.749288
12.809452,240,238.389267
0.994149,19,238.922302
5.510721,29,239.45666
10.241914,195,240.043285
3.223406,58,240.617109
5.317592,45,241.162952
12.806537,240,241.793553
0.923924,5,242.319479
