time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/clip_fraction,train/n_updates,train/value_loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/std,train/clip_range,train/learning_rate
1,33,73.07142857142857,60,2048,3.5176264642857142,,,,,,,,,,,
2,51,68.2,79,4096,3.3237373333333338,-0.3022310733795166,0.028662109375,10,0.07128692790865898,-5.69017541706562,0.0046968674,-0.00485003871290246,-0.04369542375206947,1.0055689811706543,0.2,0.0003
3,68,69.73863636363636,89,6144,3.4272852272727277,0.01723635196685791,0.04560546875,20,0.14818215938284993,-5.712476862967014,0.006195615,-0.0046461418489343485,0.00024738162755966187,1.0122895240783691,0.2,0.0003
4,83,68.87,98,8192,3.4298656999999997,-0.035811543464660645,0.03271484375,30,0.18771479760762305,-5.737493167817592,0.0044839885,-0.004131487778795418,-0.01993408426642418,1.0188430547714233,0.2,0.0003
5,101,72.76,100,10240,3.72596686,0.09406846761703491,0.032861328125,40,0.2616035310085863,-5.777781900763512,0.005819643,-0.0035715915058972315,0.0535709410905838,1.03238046169281,0.2,0.0003
6,116,72.4,105,12288,3.6711515900000005,0.06745302677154541,0.040673828125,50,0.34532240270636977,-5.815165463089943,0.004369362,-0.003819974247016944,0.07200217247009277,1.0371090173721313,0.2,0.0003
7,130,75.34,109,14336,3.7939580300000006,0.10438328981399536,0.044775390625,60,0.34595002052374185,-5.820165659487247,0.0044628736,-0.004478222184116021,0.061647385358810425,1.0371370315551758,0.2,0.0003
8,145,76.93,112,16384,3.7800868499999996,0.18767881393432617,0.0455078125,70,0.39228889178484677,-5.837389367818832,0.005836135,-0.004825038644776214,0.16398970782756805,1.0442655086517334,0.2,0.0003
